source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax
6193980905469255936,197.4124056405177,-24.373974903952465,20.976208,23.058014,19.892826,
6193988632115340416,197.3835183386173,-24.156535606131833,20.3,21.200079,19.329508,1.6913332744233172
6193973273312131968,197.74788503343453,-24.32574894244255,18.337845,18.700584,17.75497,0.010743943428981773
6193975923307118208,197.65683697656692,-24.345856247900166,20.854883,20.678774,19.6191,
6193976026386333056,197.66618571834968,-24.32928459094729,21.035444,,,
6193976266904501504,197.70315441804956,-24.304879186206726,21.20181,,,
6193988735194556032,197.39714128953688,-24.156101703828412,18.238266,18.560343,17.705856,-0.2863874005009642
6193976022091201536,197.67191704695068,-24.325237644852123,17.71839,18.460007,16.838072,0.9994024596051303
6193997020186472320,197.53437981707563,-24.026313823230147,20.786844,21.880274,19.381939,
6193976369984195712,197.7304891234172,-24.29604887755654,16.165014,16.646074,15.534797,0.8624603520103655
6193993786076097664,197.5480041290918,-24.15386760469396,18.1174,18.614128,17.487637,0.37943042991586157
6193986055134846208,197.30628419524248,-24.28452019969343,18.2708,19.040636,17.399485,0.7710578108472266
6193985200436067840,197.38902493721028,-24.285418879012703,20.176666,21.321842,18.9724,-1.350007556408162
6193983035772549888,197.5202657958896,-24.304022482769405,20.21089,20.389425,19.403408,0.18003050419975244
6193985848976400128,197.2358950066597,-24.300368146767077,20.066387,20.621899,19.183716,0.23265439257003803
6193972830930247680,197.70647797172663,-24.349134800149464,19.340605,19.767113,18.34375,0.6008324410914816
6193993648637145600,197.50230120972515,-24.1514185829141,19.369884,20.766336,18.158482,0.7640094774149457
6193994748148789376,197.45968199919304,-24.11953512335341,18.778715,19.512665,18.013958,0.2938330372614908
6193996332991705216,197.59085934742285,-24.041641485696335,20.724268,20.631012,19.88468,1.7061369069575845
6193986025069788544,197.27170337640013,-24.273120161275244,19.971546,20.310904,19.25538,-0.3587482731490553
6193992480406058496,197.5985874462565,-24.11511941693495,20.313889,20.544806,19.58919,-0.45202057877505697
6193990934217815168,197.5732061307836,-24.15130069497886,19.563282,20.021307,18.883345,0.13456241743289174
6193971181663700096,197.58016478950734,-24.300346843717747,17.026745,17.458118,16.435875,0.2992526279899725
6193989220526349184,197.5721991948386,-24.245056451087105,16.952549,17.569426,16.195265,0.6788868694628373
6193974480197829248,197.88838548593003,-24.269239481503043,20.537336,20.633774,19.871592,0.38604124065536555
6193973101513433728,197.7725650380644,-24.33028019073919,20.539043,20.710249,19.757309,-2.6776244823607405
6193979389347697024,197.69827102416832,-24.20080002513825,20.659998,22.468243,19.410074,2.0045321699636176
6193985574098468608,197.2631633108855,-24.323115172654724,19.676414,21.166027,18.670975,0.1468603183977769
6193974888219870848,197.77703586146748,-24.292311957718596,20.551771,20.883505,20.333626,-1.5671338934556205
6193988700834823552,197.4157147561665,-24.147050000473744,20.136234,20.781895,19.154621,-0.2815562231716752
6193986987143352448,197.37193636122797,-24.247610740146076,16.480362,16.842497,15.911794,0.7108536447428632
6193995469703296896,197.5725907995201,-24.11377074770169,18.734156,19.193592,18.135853,0.11497059579682696
6193982898333595136,197.54973573406275,-24.30771216897795,20.033062,,,4.849772168567686
6193994851228005504,197.49010657287513,-24.116219688146426,20.187387,20.836615,19.419296,0.7252407926758958
6193991934945194880,197.68816203490704,-24.120816298853143,20.947395,20.713478,19.674078,-6.495601606464607
6193986815344660864,197.41407379424658,-24.251689904055468,14.941579,15.320901,14.384619,0.5872774447727972
6193973930442771840,197.8364217300347,-24.30529419433345,17.942753,18.551416,17.196123,0.2426963951604405
6193990899858076032,197.59022735796387,-24.151934778235077,20.057978,20.666187,19.15343,1.1076409678602643
6193962213771335808,197.19243019887944,-24.33466878210728,20.79104,21.333843,19.723152,
6193995469703297152,197.5647480152853,-24.113193147279215,18.983599,19.641918,18.220406,0.4676021084445248
6193962213771336192,197.18656558664577,-24.333810845352534,20.882713,,,
6193992789643705728,197.68463651388797,-24.10927285665064,16.831165,17.2495,16.248213,0.35021814276611407
6193992033729462016,197.699965187831,-24.107048808772298,19.011385,20.086094,17.7917,2.4534470003282824
6193977813092466816,197.74440318481345,-24.287015837480343,20.635702,21.826717,19.418663,0.27030365600915
6193990384463970304,197.52407701480675,-24.2035212392056,20.163918,21.001799,19.329535,0.0998309547813083
6193985093062149632,197.37459669900142,-24.30649358941995,19.90147,20.802328,18.676888,0.5462017223312758
6193993786076101248,197.54639793934683,-24.149226336460387,18.867031,19.271631,18.31494,0.6376860008090136
6193994198392977792,197.54630488798614,-24.11259317784967,19.490252,20.125628,18.828945,0.3484810238052042
6193962243836107520,197.2043366691971,-24.329895653604012,18.872688,19.207832,18.2454,0.39398814343170036
6193994370191652864,197.44173422656797,-24.150654943168327,15.729716,16.224775,15.089731,0.961756988810963
6193994748148791552,197.45738002164654,-24.112620728640685,19.150679,20.74491,17.926188,2.9012221295638816
6193987227661523584,197.43389125241237,-24.233192603373322,15.888857,16.224926,15.372021,0.34094987969586427
6193989392324312192,197.62780466218692,-24.234178616712402,20.736055,21.138056,20.043545,
6193983134557077760,197.5125234494039,-24.292810617279347,17.613716,17.936357,17.14776,0.22056908077684795
6193981313490849280,197.37513313107272,-24.375556454313138,18.05404,18.68389,17.254606,0.6113267418299404
6193993824731298816,197.5162660057095,-24.150271063051864,20.117672,20.774498,19.343004,1.5155649471959338
6193995504063036672,197.57745480669897,-24.10890813665613,19.773518,20.303255,18.936487,1.3458955287361052
6193994335831916160,197.45455082603667,-24.14705034178702,19.27011,20.154907,18.281805,0.8282349119471629
6193987227661523072,197.4428808326357,-24.238063557030365,18.382923,20.228367,16.977982,5.034347816034468
6193973208887536768,197.7197809623521,-24.337477089729898,20.739613,20.574638,19.742985,-1.9086420847773895
6193979698583367168,197.7779559669778,-24.16203775305629,19.090473,19.865725,18.22574,0.1352650574362165
6193992033729460736,197.6895086710371,-24.111898904779288,20.19134,19.829062,19.826485,-0.8309346267161494
6193980729375296512,197.48098102368138,-24.3759117558249,19.550667,20.941513,18.302532,2.0322537089288977
6193989667202219264,197.61329253131854,-24.21172074555562,20.35908,20.372658,18.971737,2.2859804724330663
6193974235384831232,197.8693686298738,-24.302454651613413,18.174307,18.87673,17.35995,0.5217200112009301
6193985539738727680,197.27991677157664,-24.325313759621224,19.851917,20.185444,19.396996,0.2775781417342385
6193991969305447680,197.70771132851578,-24.11791577989372,15.997508,16.388844,15.449248,0.6612126364212711
6193974720716004864,197.81374675529443,-24.29466344155654,20.55926,20.869133,19.280716,1.0832823966939344
6193974377119373824,197.88150688994565,-24.281824485973463,17.287987,17.87794,16.55493,0.6245036926389776
6193994748148793856,197.45643813005807,-24.105252335091052,19.09751,20.35377,17.988964,1.1577075993884998
6193988700836791552,197.41397568986994,-24.15267365041359,20.103624,20.392197,19.468773,1.270682654131446
6193983104492913536,197.49936937935303,-24.293056546804625,17.582922,18.59892,16.595583,1.0731870020577268
6193985814616673280,197.2594783267383,-24.289214522036403,17.04737,18.015686,16.07237,1.8016136107941862
6193979389345764608,197.69795692353424,-24.20238255085775,18.591259,19.803635,17.41291,1.4569836377037653
6193986364372518912,197.30884439429875,-24.25817468766425,19.799946,20.171112,18.952133,0.4223939436790696
6193990040864556928,197.5533178574383,-24.224992788839906,18.81515,19.36184,18.100378,0.40394751277840363
6193977430840545280,197.694794573361,-24.25711014931808,16.764929,17.33337,16.052927,0.8266934486188849
6193988013640000256,197.35306206445568,-24.21693887410578,19.440437,19.830166,18.758389,-0.19036373498055764
6193980969893464448,197.4449021272342,-24.37610688370428,20.419239,20.880217,19.61511,-1.1506805256316894
6193978495992468224,197.823125470159,-24.223061655828598,19.401237,20.257532,18.543135,0.7695455972657155
6193980798094772224,197.46944338617686,-24.37699084027269,17.00843,17.40052,16.469694,0.46293268816958855
6193974651996394240,197.82351533810444,-24.304522928103665,19.163445,20.41584,17.77846,1.387767726079019
6193979251906712448,197.67873306263257,-24.2217347696483,19.435175,19.927923,18.665144,0.14487370443658945
6193978118035313920,197.73332542781924,-24.2561474861064,19.160784,19.527401,18.509256,-0.24457546302404393
6193980866814248832,197.4338096270702,-24.37712383501338,20.052685,20.272633,19.561419,0.9795301239228581
6193979668518327552,197.75989188879856,-24.172611868793116,20.994087,20.809868,20.10302,
6193990006504817152,197.53533320556807,-24.226547063290607,19.153252,20.668924,17.930168,1.0946182902233423
6193974201025107072,197.9007381064981,-24.28750406950252,19.871096,21.204924,18.820366,1.5263053721510575
6193983551168628608,197.47534766194102,-24.286688346695815,20.070223,20.48795,19.178627,0.6705844215185672
6193986398732258560,197.27976010776277,-24.256748349018302,20.613695,21.467531,19.553106,0.11291364629090707
6193995336559807872,197.48389519233615,-24.067939522979596,20.398024,20.721987,19.75846,-0.22939865743399027
